Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a12-pfc - dp (buy now)_6.28.24,387.769996643066,3.37503521976181,114.89361484957556,9.348058233314587,0.0813627306056436
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a15-ugc-creator-stephcurrie - v2 copy test - dp (buy now)_6.24.24,312.699998497962,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - p90x-justyou-static - v2 copy test - dp (3 low payments)_6.24.24,178.899997711181,2.53579028105809,70.54999739037281,31.89988826977373,0.452160020549154
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - v2 copy test- dp (3 low payments)_6.24.24,176.60999751091,0.365304627342467,483.4595137644974,18.735810649945268,0.038753629035154
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-a15-ugc-creator-stephcurrie - dp (buy now)_6.21.24,84.4899978637695,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-nogym1-mgfx - dp (buy now)_6.21.24,44.3599995672702,2.95842189380451,14.994480557410814,95.067080370119,6.340138293295756
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - p90x - p90x-justyou-static - dp (buy now)_6.21.24,21.3399996757507,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-breakcycle-mgfx - v2 copy test - dp (3 low payments)_6.24.24,20.7600002251565,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-breakcycle-mgfx - dp (buy now)_6.21.24,9.06999992579221,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - p90x - p90x-simplecommit-mgfx - dp (buy now)_6.21.24,9.00000009685754,0.365304627342467,24.636972606482185,18.735810649945268,0.7604753615310563
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - p90x dp)_cpa_conversion_6.21.24 ad set Total,,1833.3999892435936,13.826173834787785,132.60356850357323,45.43807175386896,0.3426610027666378
